Date,Description,Amount,Location,Retail
11/09/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.25,UK,Tfl
11/09/2022,CINEWORLD               BRENTFORD,22.49,Brentford,Cineworld
10/09/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.65,UK,Tfl
10/09/2022,READING BUSES           READING,2.2,Reading,Reading Buses
10/09/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.25,UK,Tfl
10/09/2022,READING BUSES           READING,2.2,Reading,Reading Buses
10/09/2022,MCDONALDS SHAFTESBURY A LONDON,6.27,Shaftesbury,Other
10/09/2022,TRAINLINE.COM           LONDON,14.9,London,Trainline
09/09/2022,READING BUSES           READING,2.2,Reading,Reading Buses
09/09/2022,TRAINLINE.COM           LONDON,4.85,London,Trainline
08/09/2022,TRAINLINE.COM           LONDON,7.5,London,Trainline
08/09/2022,WLY*COMPLETESAVE.CO.UK  NYON,15.0,UK,Other
07/09/2022,TRAINLINE.COM           LONDON,10.8,London,Trainline
05/09/2022,MARKS & SPENCER - READI READING,30.1,Reading,Other
05/09/2022,READING BUSES           READING,4.3,Reading,Reading Buses
05/09/2022,SPORTS DIRECT           READING,15.0,Reading,Sports Direct
05/09/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35,UK,Wikimedia
05/09/2022,TK MAXX                 READING,76.98,Reading,Tk Maxx
03/09/2022,TRAINLINE.COM           LONDON,9.0,London,Trainline
03/09/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.0,UK,Tfl
03/09/2022,READING BUSES           READING,4.0,Reading,Reading Buses
30/08/2022,TRAINLINE.COM           LONDON,7.1,London,Trainline
28/08/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.1,UK,Tfl
28/08/2022,READING BUSES           READING,4.0,Reading,Reading Buses
28/08/2022,TRAINLINE.COM           LONDON,14.95,London,Trainline
27/08/2022,TRIP.COM                INTERNET,846.7,UK,Other
26/08/2022,APPLE.COM/BILL          HOLLYHILL,1.79,UK,Apple
25/08/2022,TESCO STORE 5528 5528TE READING,2.05,Reading,Tesco
24/08/2022,LIDL READING 0270       READING,7.57,Reading,Lidl
24/08/2022,*2CO.COM*DUOLINGO.COM  REDWOOD SHORES,43.03,UK,Other
23/08/2022,TRAINLINE.COM           LONDON,7.1,London,Trainline
20/08/2022,MCDONALDS               WELLING,3.38,Welling,Other
20/08/2022,TRAINLINE.COM           LONDON,13.95,London,Trainline
20/08/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.75,UK,Tfl
19/08/2022,APCOA PARKING UK LTD    UXBRIDGE,5.0,Uxbridge,Other
19/08/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.95,UK,Tfl
19/08/2022,J D WETHERSPOON PLC     WATFORD,3.45,Watford,Wetherspoon
17/08/2022,MCDONALD'S - READING 10 READING,2.98,Reading,Mcdonald'S
17/08/2022,TRAINLINE.COM           LONDON,7.1,London,Trainline
16/08/2022,TRAINLINE.COM           LONDON,7.1,London,Trainline
16/08/2022,THE BODY SHOP INTERNATI LITTLEHAMPTON,10.2,Littlehampton,Other
15/08/2022,TRAINLINE               EDINBURGH,20.0,Edinburgh,Trainline
13/08/2022,TRAINLINE.COM           LONDON,21.3,London,Trainline
13/08/2022,SAINSBURY'S             OXFORD,1.5,Oxford,Sainsbury'S
13/08/2022,MCDONALDS OXFORD        OXFORD,1.19,Oxford,Other
13/08/2022,PRIMARK READING BROAD S READING,1.5,Reading,Primark
12/08/2022,HOLLAND & BARRETT READI READING,5.98,Reading,Other
12/08/2022,POUNDLAND - 2211 READIN READING,14.5,Reading,Poundland
12/08/2022,PRIMARK READING BROAD S READING,50.0,Reading,Primark
12/08/2022,SUPERDRUG BROAD ST MALL READING,16.16,Reading,Other
12/08/2022,TESCO STORE 5528 5528TE READING,37.56,Reading,Tesco
12/08/2022,TK MAXX                 READING,89.16,Reading,Tk Maxx
12/08/2022,WILKINSON READING       READING,7.3,Reading,Other
11/08/2022,TRAINLINE               EDINBURGH,10.8,Edinburgh,Trainline
10/08/2022,TRAINLINE               EDINBURGH,10.8,Edinburgh,Trainline
09/08/2022,TRAINLINE.COM           LONDON,7.5,London,Trainline
09/08/2022,TRAINLINE.COM           LONDON,9.9,London,Trainline
08/08/2022,AMZNMKTPLACE            AMAZON.CO.UK,13.98,UK,Amznmktplace
07/08/2022,MCDONALDS CAMBRIDGE CIR LONDON,13.83,Cambridge,Other
07/08/2022,TESCO STORE 6186 6186TE WEMBLEY,3.35,Wembley,Tesco
07/08/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.0,UK,Tfl
06/08/2022,TESCO STORE 6186 6186TE WEMBLEY,11.15,Wembley,Tesco
06/08/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.2,UK,Tfl
05/08/2022,TRAINLINE.COM           LONDON,63.3,London,Trainline
05/08/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.8,UK,Tfl
05/08/2022,TESCO STORE 2632 2632TE GREENFORD,4.25,Greenford,Tesco
04/08/2022,MADAME TUSSAUDS LONDON  LONDON,210.0,London,Other
04/08/2022,MCDONALD'S - READING 10 READING,3.59,Reading,Mcdonald'S
04/08/2022,PRIMARK READING BROAD S READING,16.2,Reading,Primark
04/08/2022,TRAINLINE.COM           LONDON,7.5,London,Trainline
03/08/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35,UK,Wikimedia
03/08/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
03/08/2022,TESCO STORE 5528 5528TE READING,50.99,Reading,Tesco
02/08/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.95,UK,Tfl
02/08/2022,TK MAXX                 HOUNSLOW,46.99,UK,Tk Maxx
01/08/2022,ALDI FELTHAM 781045     FELTHAM,5.67,Feltham,Other
01/08/2022,ASDA STORES             FELTHAM,3.5,Feltham,Asda
01/08/2022,ASDA STORES             FELTHAM,5.99,Feltham,Asda
01/08/2022,ASDA STORES             FELTHAM,13.93,Feltham,Asda
31/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.5,UK,Tfl
29/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.5,UK,Tfl
28/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.5,UK,Tfl
28/07/2022,TIM HORTONS             GLASGOW,12.54,Glasgow,Tim Hortons
28/07/2022,SAINSBURY'S SUPERMARKET GLASGOW,13.35,Glasgow,Sainsbury'S
27/07/2022,A.G. RESTAURANTS LTD    GLASGOW,8.74,Glasgow,Other
27/07/2022,TESCO STORE 5670 5670TE EDINBURGH,6.2,Edinburgh,Tesco
26/07/2022,APPLE.COM/BILL          HOLLYHILL,1.79,UK,Apple
26/07/2022,ASDA STORES             FELTHAM,5.7,Feltham,Asda
26/07/2022,ASDA STORES             FELTHAM,5.99,Feltham,Asda
26/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.8,UK,Tfl
26/07/2022,TRAINLINE.COM           LONDON,69.49,London,Trainline
25/07/2022,ASDA STORES             FELTHAM,3.5,Feltham,Asda
25/07/2022,ASDA STORES             FELTHAM,10.07,Feltham,Asda
24/07/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.98,Feltham,Mcdonald'S
24/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.3,UK,Tfl
23/07/2022,MCDONALD'S HIGH ROAD    WEMBLEY,8.65,Wembley,Mcdonald'S
23/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.9,UK,Tfl
23/07/2022,J D WETHERSPOON PLC     WATFORD,8.9,Watford,Wetherspoon
23/07/2022,J D WETHERSPOON PLC     WATFORD,3.65,Watford,Wetherspoon
23/07/2022,3CPAYMENT*WELCOME BREAK FLEET,7.6,Fleet,Other
22/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,13.45,UK,Tfl
21/07/2022,ASDA STORES             FELTHAM,3.05,Feltham,Asda
21/07/2022,ASDA STORES             FELTHAM,3.95,Feltham,Asda
21/07/2022,TESCO STORE 2239 2239TE LONDON,2.45,London,Tesco
21/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,13.95,UK,Tfl
20/07/2022,ASDA STORES             FELTHAM,17.75,Feltham,Asda
20/07/2022,SWRAILWAY FELTHAM SELFS FELTHAM,15.6,Feltham,Other
19/07/2022,ASDA STORES             FELTHAM,19.19,Feltham,Asda
19/07/2022,MCDONALD'S FELTHAM      FELTHAM      ,1.59,Feltham,Mcdonald'S
19/07/2022,TRAINLINE               EDINBURGH,237.59,Edinburgh,Trainline
18/07/2022,ASDA STORES             FELTHAM,4.78,Feltham,Asda
18/07/2022,ASDA STORES             FELTHAM,6.45,Feltham,Asda
18/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.3,UK,Tfl
17/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.95,UK,Tfl
17/07/2022,MOMOMIALONDON LTD       London,13.0,London,Other
17/07/2022,TK MAXX                 HOUNSLOW,57.98,UK,Tk Maxx
17/07/2022,BOOTS THE CHEMIST       HOUNSLOW,14.95,UK,Boots
17/07/2022,MOMOMIALONDON LTD       London,2.0,London,Other
16/07/2022,TESCO STORE 3093 3093TE LONDON,4.2,London,Tesco
16/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.5,UK,Tfl
16/07/2022,ASDA STORES             FELTHAM,19.54,Feltham,Asda
15/07/2022,UBER TRIP               SAN FRANCISCO,2.0,UK,Uber
15/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.65,UK,Tfl
15/07/2022,UBER TRIP               SAN FRANCISCO,29.56,UK,Uber
14/07/2022,ASDA STORES             FELTHAM,9.44,Feltham,Asda
14/07/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
13/07/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
12/07/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
12/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.5,UK,Tfl
11/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.5,UK,Tfl
11/07/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.98,Feltham,Mcdonald'S
07/07/2022,MCDONALD'S FELTHAM      FELTHAM      ,3.97,Feltham,Mcdonald'S
07/07/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
05/07/2022,MCDONALD'S FELTHAM      FELTHAM      ,1.99,Feltham,Mcdonald'S
05/07/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
04/07/2022,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35,UK,Wikimedia
04/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,10.5,UK,Tfl
03/07/2022,MCDONALD'S FELTHAM      FELTHAM      ,0.99,Feltham,Mcdonald'S
02/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.3,UK,Tfl
01/07/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.8,UK,Tfl
01/07/2022,MCDONALD'S FELTHAM      FELTHAM      ,1.99,Feltham,Mcdonald'S
30/06/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.98,Feltham,Mcdonald'S
29/06/2022,EMIRATES WWW.EXPEDIA.CO UNITED KINGDOM,509.4,UK,Emirates
29/06/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
29/06/2022,EMIRATES WWW.EXPEDIA.CO UNITED KINGDOM,509.4,UK,Emirates
29/06/2022,QATAR AIRWAYS WWW.EXPED UNITED KINGDOM,451.26,UK,Qatar Airways
29/06/2022,QATAR AIRWAYS WWW.EXPED UNITED KINGDOM,451.26,UK,Qatar Airways
28/06/2022,MCDONALD'S FELTHAM      FELTHAM      ,3.98,Feltham,Mcdonald'S
28/06/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
26/06/2022,APPLE.COM/BILL          HOLLYHILL,1.79,UK,Apple
26/06/2022,ASDA STORES             FELTHAM,22.35,Feltham,Asda
25/06/2022,TK MAXX                 HOUNSLOW,17.19,UK,Tk Maxx
25/06/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.25,UK,Tfl
25/06/2022,MOMOMIALONDON LTD       London,6.95,London,Other
25/06/2022,DOMINOS FELTHAM         FELTHAM,2.0,Feltham,Other
25/06/2022,ASDA STORES             FELTHAM,5.2,Feltham,Asda
25/06/2022,ASDA STORES             FELTHAM,4.0,Feltham,Asda
24/06/2022,MCDONALD'S FELTHAM      FELTHAM      ,2.98,Feltham,Mcdonald'S
22/06/2022,SWRAILWAY FELTHAM SELFS FELTHAM,16.9,Feltham,Other
19/06/2022,ASDA STORES             FELTHAM,5.54,Feltham,Asda
19/06/2022,INTEREST CHARGE,13.75,UK,Other
19/06/2022,MCDONALDS               WELLING,1.98,Welling,Other
19/06/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.65,UK,Tfl
18/06/2022,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.5,UK,Tfl
