Date,Description,Amount,Location,Retail
20/12/2021,TESCO STORE 2532 2532TE FELTHAM,9.09,Feltham,Tesco
19/12/2021,AMAZON.CO.UK*0V4D65Y55  AMAZON.CO.UK,40.0,UK,Other
18/12/2021,ASDA STORES             FELTHAM,16.82,Feltham,Asda
17/12/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.8,UK,Tfl
16/12/2021,MCDONALD'S GREENWICH -  LONDON,2.98,Greenwich,Mcdonald'S
16/12/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.8,UK,Tfl
15/12/2021,BUDDHA_AIR_PVT_LTD_ECO  11111,18.39,UK,Other
14/12/2021,ASDA STORES             FELTHAM,5.35,Feltham,Asda
13/12/2021,ASDA STORES             FELTHAM,4.48,Feltham,Asda
13/12/2021,ASDA STORES             FELTHAM,11.25,Feltham,Asda
13/12/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
10/12/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.8,UK,Tfl
09/12/2021,MCDONALD'S GREENWICH -  LONDON,3.1,Greenwich,Mcdonald'S
09/12/2021,TESCO STORE 4911 4911TE GREENWICH,5.5,Greenwich,Tesco
09/12/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.35,UK,Tfl
07/12/2021,ASDA STORES             FELTHAM,33.74,Feltham,Asda
04/12/2021,ASDA STORES             FELTHAM,9.49,Feltham,Asda
04/12/2021,ASDA STORES             FELTHAM,12.9,Feltham,Asda
03/12/2021,WIKIMEDIA 877 600 9454  SAN FRANCISCO,2.35,UK,Wikimedia
02/12/2021,TESCO STORE 6209 6209TE LONDON,5.5,London,Tesco
02/12/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.6,UK,Tfl
01/12/2021,RECHARGE.COM*RECHARGE G AMSTERDAM,5.48,UK,Other
01/12/2021,MCDONALD'S FELTHAM      FELTHAM      ,1.98,Feltham,Mcdonald'S
30/11/2021,ASDA STORES             FELTHAM,3.8,Feltham,Asda
30/11/2021,TESCO STORE 2532 2532TE FELTHAM,12.4,Feltham,Tesco
29/11/2021,AMZNMKTPLACE            AMAZON.CO.UK,33.48,UK,Amznmktplace
28/11/2021,HOLLAND & BARRETT FELTH FELTHAM,13.23,Feltham,Other
28/11/2021,MCDONALD'S FELTHAM      FELTHAM      ,0.99,Feltham,Mcdonald'S
28/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.4,UK,Tfl
27/11/2021,ASDA STORES             FELTHAM,4.0,Feltham,Asda
25/11/2021,ASDA STORES             FELTHAM,7.08,Feltham,Asda
25/11/2021,MCDONALD'S GREENWICH -  LONDON,4.17,Greenwich,Mcdonald'S
25/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.6,UK,Tfl
24/11/2021,ASDA STORES             FELTHAM,7.74,Feltham,Asda
24/11/2021,ASDA STORES             FELTHAM,9.5,Feltham,Asda
24/11/2021,J D WETHERSPOON PLC     WATFORD,4.98,Watford,Wetherspoon
23/11/2021,JUUL LABS UK JUUL LABS  UNITED KINGDOM,11.98,UK,Other
22/11/2021,AMAZON.CO.UK*KC5WA4P65  AMAZON.CO.UK,30.99,UK,Other
21/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.55,UK,Tfl
21/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.55,UK,Tfl
20/11/2021,ASDA STORES             FELTHAM,6.74,Feltham,Asda
19/11/2021,ASDA STORES             FELTHAM,5.75,Feltham,Asda
19/11/2021,SPORTS DIRECT           FELTHAM,16.99,Feltham,Sports Direct
18/11/2021,ASDA STORES             FELTHAM,5.41,Feltham,Asda
18/11/2021,MCDONALD'S GREENWICH -  LONDON,2.98,Greenwich,Mcdonald'S
18/11/2021,MCDONALDS STRAND        LONDON,3.97,London,Other
18/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,12.6,UK,Tfl
17/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
16/11/2021,ASDA STORES             FELTHAM,2.75,Feltham,Asda
16/11/2021,JUUL LABS UK JUUL LABS  UNITED KINGDOM,5.99,UK,Other
14/11/2021,ASDA STORES             FELTHAM,5.7,Feltham,Asda
14/11/2021,DOMINOS FELTHAM         FELTHAM,3.99,Feltham,Other
14/11/2021,J D WETHERSPOON PLC     WATFORD,5.38,Watford,Wetherspoon
13/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
12/11/2021,ASDA STORES             FELTHAM,6.16,Feltham,Asda
11/11/2021,LEBARA MOBILE LIMITED   LONDON,10.0,London,Other
11/11/2021,TESCO STORE 2239 2239TE LONDON,3.7,London,Tesco
11/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.6,UK,Tfl
10/11/2021,ASDA STORES             FELTHAM,4.43,Feltham,Asda
10/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
09/11/2021,ASDA STORES             FELTHAM,2.1,Feltham,Asda
09/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
08/11/2021,AMZNMKTPLACE            AMAZON.CO.UK,30.23,UK,Amznmktplace
08/11/2021,ASDA STORES             FELTHAM,2.69,Feltham,Asda
07/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
06/11/2021,ADIDAS (UK) LIMITED     STOCKPORT,11.23,Stockport,Other
06/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.35,UK,Tfl
04/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,13.15,UK,Tfl
04/11/2021,J D WETHERSPOON PLC     WATFORD,6.95,Watford,Wetherspoon
03/11/2021,ASDA STORES             FELTHAM,8.92,Feltham,Asda
02/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
01/11/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.55,UK,Tfl
31/10/2021,TESCO STORE 5374 5374TE SUTTON,3.7,Sutton,Tesco
31/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
30/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.55,UK,Tfl
29/10/2021,ASDA STORES             FELTHAM,4.08,Feltham,Asda
28/10/2021,ASDA STORES             FELTHAM,6.0,Feltham,Asda
27/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
26/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
25/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
24/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
23/10/2021,ASDA STORES             FELTHAM,1.99,Feltham,Asda
23/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
22/10/2021,ASDA STORES             FELTHAM,3.0,Feltham,Asda
22/10/2021,ASDA STORES             FELTHAM,10.59,Feltham,Asda
21/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.6,UK,Tfl
18/10/2021,ASDA STORES             FELTHAM,6.63,Feltham,Asda
18/10/2021,LEBARA MOBILE LIMITED   LONDON,10.0,London,Other
18/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
17/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
16/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,10.6,UK,Tfl
15/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.85,UK,Tfl
14/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.6,UK,Tfl
14/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.65,UK,Tfl
14/10/2021,TESCO STORE 6346 6346TE LONDON,5.5,London,Tesco
14/10/2021,SHREE FOOD & NEWS       LONDON,5.78,London,Other
13/10/2021,ASDA STORES             FELTHAM,3.94,Feltham,Asda
12/10/2021,ASDA STORES             FELTHAM,9.35,Feltham,Asda
11/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
10/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
10/10/2021,AMZNMKTPLACE            AMAZON.CO.UK,1.46,UK,Amznmktplace
08/10/2021,3CPAYMENT*STARBUCKS 121 LONDON,3.85,London,Starbucks
08/10/2021,ASDA STORES             FELTHAM,3.99,Feltham,Asda
08/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.0,UK,Tfl
07/10/2021,TESCO STORE 6785 6785TE LONDON,5.25,London,Tesco
07/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.3,UK,Tfl
06/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
04/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
03/10/2021,ASDA STORES             FELTHAM,3.85,Feltham,Asda
03/10/2021,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.1,UK,Tfl
02/10/2021,APPLE.COM/UK            LONDON,159.0,London,Apple
02/10/2021,APPLE.COM/UK            LONDON,739.8,London,Apple
